id,game,start_date,end_date,price,publisher,year,real_value,original_release_date,aggregated_rating,next_sequel_date,next_sequel_name,hype_delta_days,is_strategic_hype
173,My Time at Portia,26/12/2020,27/12/2020,29.99,Focus Entertainment,2020,38.0873,2019-01-15,70.2,N/A,Standalone,,False
174,Night in the Woods,27/12/2020,28/12/2020,19.99,Finji,2020,25.3873,2017-02-21,88.33333333333333,N/A,Standalone,,False
175,Stranded Deep,28/12/2020,29/12/2020,19.99,Beam Team Publishing,2020,25.3873,2015-01-23,58.0,N/A,Standalone,,False
176,Solitairica,29/12/2020,30/12/2020,9.99,Righteous Hammer Games,2020,12.6873,2016-05-31,80.0,N/A,Standalone,,False
177,Torchlight II,30/12/2020,31/12/2020,19.99,Xd,2020,25.3873,2012-09-20,85.61538461538461,N/A,Standalone,,False
178,Jurassic World Evolution,31/12/2020,07/01/2021,44.99,Frontier Developments,2020,57.1373,2018-06-11,74.15384615384616,2021-11-09,Jurassic World Evolution 2,313.0,False
179,Crying Suns,07/01/2021,14/01/2021,24.99,Humble Games,2021,30.487799999999996,2019-09-18,79.5,N/A,Standalone,,False
180,STAR WARS Battlefront II,14/01/2021,21/01/2021,39.99,Electronic Arts,2021,48.787800000000004,2017-11-17,71.82352941176471,N/A,Standalone,,False
181,Galactic Civilizations III,21/01/2021,28/01/2021,29.99,Stardock Entertainment,2021,36.587799999999994,2014-03-27,77.5,N/A,Standalone,,False
182,Dandara,28/01/2021,04/02/2021,14.99,Raw Fury,2021,18.2878,2018-02-06,69.2,N/A,Standalone,,False
183,For The King,04/02/2021,11/02/2021,19.99,Ironoak Games,2021,24.3878,2018-04-19,78.0,N/A,Standalone,,False
184,Metro: Last Light Redux,04/02/2021,11/02/2021,19.99,Deep Silver,2021,24.3878,2014-08-26,80.0,N/A,Standalone,,False
185,Halcyon 6: Starbase Commander,11/02/2021,18/02/2021,14.99,"Massive Damage, Inc.",2021,18.2878,2016-09-08,66.0,N/A,Standalone,,False
186,Absolute Drift,18/02/2021,25/02/2021,11.99,Funselektor Labs Inc.,2021,14.6278,2015-07-29,60.0,N/A,Standalone,,False
