id,game,start_date,end_date,price,publisher,original_release_date,aggregated_rating,real_value,next_sequel_date,next_sequel_name,year,hype_delta_days,is_strategic_hype
151,The World Next Door,19/11/2020,26/11/2020,4.99,Viz Media,2019-03-28,64.2,6.3373,N/A,Standalone,2020,,False
152,MudRunner,26/11/2020,03/12/2020,19.99,Focus Entertainment,2017-10-31,70.0,25.3873,N/A,Standalone,2020,,False
153,Cave Story+,03/12/2020,10/12/2020,14.99,"Nicalis, Inc.",2011-11-22,81.0,19.037300000000002,N/A,Standalone,2020,,False
154,Pillars of Eternity: Definitive Edition,10/12/2020,17/12/2020,39.99,Paradox Interactive,2017-11-15,79.0,50.7873,N/A,Standalone,2020,,False
155,Tyranny: Gold Edition,10/12/2020,17/12/2020,49.99,Paradox Interactive,2018-11-08,81.0,63.487300000000005,N/A,Standalone,2020,,False
156,Cities: Skylines,17/12/2020,18/12/2020,29.99,Paradox Interactive,10/03/2015,76.23076923,38.0873,28/04/2022,Cities: VR,2020,,False
157,Oddworld: New 'n' Tasty,18/12/2020,19/12/2020,19.99,"Oddworld Inhabitants, Inc.",2014-07-22,75.83333333333333,25.3873,N/A,Standalone,2020,,False
158,The Long Dark,19/12/2020,20/12/2020,19.99,Hinterland Studio Inc.,2017-08-01,82.0,25.3873,N/A,Standalone,2020,,False
159,Defense Grid: The Awakening,20/12/2020,21/12/2020,9.99,Hidden Path Entertainment,2008-12-08,86.0,12.6873,N/A,No Future Sequel Found,2020,,False
160,Alien: Isolation,21/12/2020,22/12/2020,39.99,Sega,2014-10-06,85.63157894736842,50.7873,N/A,Standalone,2020,,False
161,Metro 2033 Redux,22/12/2020,23/12/2020,19.99,Deep Silver,2014-08-26,80.0,25.3873,N/A,Standalone,2020,,False
162,Tropico 5,23/12/2020,24/12/2020,19.99,Kalypso Media,2014-05-23,72.35714285714286,25.3873,N/A,Standalone,2020,,False
163,Inside,24/12/2020,25/12/2020,24.99,Playdead,2016-06-29,92.0,31.737299999999998,N/A,Standalone,2020,,False
164,Darkest Dungeon,25/12/2020,26/12/2020,24.99,Red Hook Studios,19/01/2016,83.1,31.737299999999998,08/05/2023,Darkest Dungeon II,2020,953.0,False
165,My Time at Portia,26/12/2020,27/12/2020,29.99,Focus Entertainment,2019-01-15,70.2,38.0873,N/A,Standalone,2020,,False
166,Night in the Woods,27/12/2020,28/12/2020,19.99,Finji,2017-02-21,88.33333333333333,25.3873,N/A,Standalone,2020,,False
167,Stranded Deep,28/12/2020,29/12/2020,19.99,Beam Team Publishing,2015-01-23,58.0,25.3873,N/A,Standalone,2020,,False
168,Solitairica,29/12/2020,30/12/2020,9.99,Righteous Hammer Games,2016-05-31,80.0,12.6873,N/A,Standalone,2020,,False
169,Torchlight II,30/12/2020,31/12/2020,19.99,Xd,2012-09-20,85.61538461538461,25.3873,N/A,Standalone,2020,,False
170,Jurassic World Evolution,31/12/2020,07/01/2021,44.99,Frontier Developments,11/06/2018,74.15384615,57.1373,09/11/2021,Jurassic World Evolution 2,2020,254.0,False
171,Crying Suns,07/01/2021,14/01/2021,24.99,Humble Games,2019-09-18,79.5,30.487799999999996,N/A,Standalone,2021,,False
172,STAR WARS Battlefront II,14/01/2021,21/01/2021,39.99,Electronic Arts,2017-11-17,71.82352941176471,48.787800000000004,N/A,Standalone,2021,,False
173,Galactic Civilizations III,21/01/2021,28/01/2021,29.99,Stardock Entertainment,2014-03-27,77.5,36.587799999999994,N/A,Standalone,2021,,False
174,Dandara,28/01/2021,04/02/2021,14.99,Raw Fury,2018-02-06,69.2,18.2878,N/A,Standalone,2021,,False
175,For The King,04/02/2021,11/02/2021,19.99,Ironoak Games,2018-04-19,78.0,24.3878,N/A,Standalone,2021,,False
176,Metro: Last Light Redux,04/02/2021,11/02/2021,19.99,Deep Silver,2014-08-26,80.0,24.3878,N/A,Standalone,2021,,False
177,Halcyon 6: Starbase Commander,11/02/2021,18/02/2021,14.99,"Massive Damage, Inc.",2016-09-08,66.0,18.2878,N/A,Standalone,2021,,False
178,Absolute Drift,18/02/2021,25/02/2021,11.99,Funselektor Labs Inc.,2015-07-29,60.0,14.6278,N/A,Standalone,2021,,False
179,Rage 2,18/02/2021,25/02/2021,39.99,Bethesda Softworks,2019-05-13,68.63636363636364,48.787800000000004,N/A,No Future Sequel Found,2021,,False
180,Sunless Sea,25/02/2021,04/03/2021,18.99,Failbetter Games,2015-02-06,85.0,23.167799999999996,N/A,Standalone,2021,,False
181,Wargame: Red Dragon,04/03/2021,11/03/2021,29.99,Eugen Systems,2014-04-17,80.0,36.587799999999994,N/A,Standalone,2021,,False
182,Surviving Mars,11/03/2021,18/03/2021,29.99,Paradox Interactive,2018-03-15,73.57142857142857,36.587799999999994,N/A,Standalone,2021,,False
183,The Fall,18/03/2021,25/03/2021,9.99,Over The Moon,2014-05-30,77.5,12.1878,N/A,No Future Sequel Found,2021,,False
184,Creature in the Well,25/03/2021,01/04/2021,14.99,Flight School Studio,2019-09-06,73.75,18.2878,N/A,Standalone,2021,,False
185,Tales of the Neon Sea,01/04/2021,08/04/2021,14.99,Thermite Games,2019-04-29,60.0,18.2878,N/A,Standalone,2021,,False
186,3 out of 10: Season Two,08/04/2021,15/04/2021,0.0,Terrible Posture Games,2021-04-08,60.0,0.0,N/A,No Future Sequel Found,2021,,False
187,Deponia,15/04/2021,22/04/2021,9.99,Daedalic Entertainment,2012-08-07,77.5,12.1878,N/A,No Future Sequel Found,2021,,False
